Date,Open,High,Low,Close,Volume,Adj Close
2015-02-23,34.93,34.93,34.93,34.93,200,34.93
2015-02-20,35.07,35.07,35.05,35.05,700,35.05
2015-02-19,34.80,34.80,34.80,34.80,000,34.80
2015-02-18,34.80,34.80,34.80,34.80,300,34.80
2015-02-17,34.44,34.44,34.44,34.44,300,34.44
2015-02-13,34.50,34.50,34.50,34.50,300,34.50
2015-02-12,34.20,34.20,34.20,34.20,800,34.20
2015-02-11,34.30,34.30,34.30,34.30,600,34.30
2015-02-10,34.30,34.44,34.10,34.44,700,34.44
2015-02-09,34.57,34.57,34.57,34.57,000,34.57
2015-02-06,34.57,34.57,34.57,34.57,200,34.57
2015-02-05,33.73,34.76,33.73,34.76,3900,34.76
