Date,Open,High,Low,Close,Volume,Adj Close
2015-02-23,51.75,52.20,50.95,51.31,9501000,51.31
2015-02-20,49.81,51.12,49.13,51.02,10537900,51.02
2015-02-19,50.78,50.80,49.59,49.78,11462600,49.78
2015-02-18,48.60,49.45,48.18,49.31,8752700,49.31
2015-02-17,48.77,49.45,47.86,48.01,7260500,48.01
2015-02-13,47.53,48.40,46.65,48.39,9895700,48.39
2015-02-12,46.75,48.50,46.40,47.88,9542800,47.88
2015-02-11,48.79,48.95,47.35,47.59,10060200,47.59
2015-02-10,47.40,48.38,46.90,48.05,9085300,48.05
2015-02-09,46.41,47.24,45.95,46.53,12961900,46.53
2015-02-06,48.84,49.47,47.89,48.15,8635300,48.15
2015-02-05,49.46,49.46,47.60,48.81,9220900,48.81
