Date,Open,High,Low,Close,Volume,Adj Close
2015-02-23,3.99,4.01,3.99,4.01,1800,4.01
2015-02-20,3.97,3.99,3.97,3.99,700,3.99
2015-02-19,3.91,3.96,3.83,3.90,8300,3.90
2015-02-18,3.86,3.99,3.86,3.99,800,3.99
2015-02-17,3.97,4.01,3.86,3.91,5100,3.91
2015-02-13,3.97,3.98,3.83,3.96,2300,3.96
2015-02-12,3.98,3.98,3.97,3.97,1100,3.97
2015-02-11,3.82,3.98,3.82,3.96,5400,3.96
2015-02-10,3.98,3.98,3.98,3.98,000,3.98
2015-02-09,3.97,3.98,3.88,3.98,3900,3.98
2015-02-06,3.99,3.99,3.86,3.99,3400,3.99
2015-02-05,4.00,4.02,3.99,3.99,1000,3.99
