Date,Open,High,Low,Close,Volume,Adj Close
2015-02-23,10.21,10.23,9.97,10.06,216200,10.06
2015-02-20,10.22,10.30,10.11,10.22,93700,10.22
2015-02-19,10.12,10.29,10.05,10.21,152900,10.21
2015-02-18,10.23,10.31,10.11,10.17,107200,10.17
2015-02-17,10.15,10.38,10.08,10.25,215900,10.25
2015-02-13,10.17,10.36,10.02,10.15,141900,10.15
2015-02-12,10.27,10.77,10.10,10.20,310500,10.20
2015-02-11,10.15,10.36,9.97,10.21,162800,10.21
2015-02-10,9.88,10.29,9.64,10.20,166900,10.20
2015-02-09,9.53,9.89,9.43,9.85,86900,9.85
2015-02-06,9.42,9.71,9.36,9.60,111800,9.60
2015-02-05,9.24,9.48,9.10,9.37,107500,9.37
