Date,Open,High,Low,Close,Volume,Adj Close
2015-02-23,23.71,23.85,23.47,23.60,241200,23.60
2015-02-20,23.37,23.74,23.19,23.74,97800,23.74
2015-02-19,23.16,23.50,23.16,23.44,75900,23.44
2015-02-18,23.08,23.37,23.06,23.25,111800,23.25
2015-02-17,23.34,23.50,23.10,23.14,92800,23.14
2015-02-13,23.40,23.50,23.23,23.37,87200,23.37
2015-02-12,23.10,23.49,23.08,23.40,87400,23.40
2015-02-11,22.77,22.93,22.51,22.90,86600,22.90
2015-02-10,22.92,22.96,22.42,22.85,83900,22.85
2015-02-09,23.09,23.33,22.55,22.66,131800,22.66
2015-02-06,23.26,23.89,22.75,23.21,214200,23.21
2015-02-05,23.76,23.78,23.29,23.68,117600,23.68
