Date,Open,High,Low,Close,Volume,Adj Close
2015-02-23,130.02,133.00,129.66,133.00,67871800,133.00
2015-02-20,128.62,129.50,128.05,129.50,48948400,129.50
2015-02-19,128.48,129.03,128.33,128.45,37362400,128.45
2015-02-18,127.63,128.78,127.45,128.72,44891700,128.72
2015-02-17,127.49,128.88,126.92,127.83,63152400,127.83
2015-02-13,127.28,127.28,125.65,127.08,54272200,127.08
2015-02-12,126.06,127.48,125.57,126.46,74474500,126.46
2015-02-11,122.77,124.92,122.50,124.88,73561800,124.88
2015-02-10,120.17,122.15,120.16,122.02,62008500,122.02
2015-02-09,118.55,119.84,118.43,119.72,38889800,119.72
2015-02-06,120.02,120.25,118.45,118.93,43372000,118.93
2015-02-05,120.02,120.23,119.25,119.94,42246200,119.94
